"attributes","Id","Name","NamespacePrefix","Description","TableEnumOrId","IsActive","CreatedById","CreatedDate","LastModifiedById","LastModifiedDate","SystemModstamp"
"{""type"":""BusinessProcess"",""url"":""/services/data/v39.0/sobjects/BusinessProcess/0191U000000CeBFQA0""}","0191U000000CeBFQA0","Opportunity Process","FinServ",,"Opportunity",true,"0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","2018-11-08T14:42:38.000+0000"
"{""type"":""BusinessProcess"",""url"":""/services/data/v39.0/sobjects/BusinessProcess/0191U000000CeBGQA0""}","0191U000000CeBGQA0","Wallet Share","FinServ",,"Opportunity",true,"0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","2018-11-08T14:42:38.000+0000"
"{""type"":""BusinessProcess"",""url"":""/services/data/v39.0/sobjects/BusinessProcess/0191U000000CeBHQA0""}","0191U000000CeBHQA0","Lead Process","FinServ","Consumer lead","Lead",true,"0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","2018-11-08T14:42:38.000+0000"
