"attributes","Id","DeveloperName","MasterLabel","Language","NamespacePrefix","Label","QualifiedApiName","FinServ__AccountRecordTypeNamespace__c","FinServ__AccountRecordType__c","FinServ__ContactRecordTypeNamespace__c","FinServ__ContactRecordType__c","FinServ__DetailPage__c","FinServ__IndividualType__c","FinServ__LeadRecordTypeNamespace__c","FinServ__LeadRecordType__c"
"{""type"":""FinServ__IndividualRecordTypeMapper__mdt"",""url"":""/services/data/v39.0/sobjects/FinServ__IndividualRecordTypeMapper__mdt/m071U0000004CkIQAU""}","m071U0000004CkIQAU","Individual","Individual","en_US","FinServ","Individual","FinServ__Individual","Industries","IndustriesIndividual","Industries","IndustriesIndividual",,"Individual",,
"{""type"":""FinServ__IndividualRecordTypeMapper__mdt"",""url"":""/services/data/v39.0/sobjects/FinServ__IndividualRecordTypeMapper__mdt/m071U0000004CkJQAU""}","m071U0000004CkJQAU","PersonAccount","Person Account","en_US",,"Person Account","PersonAccount",,"PersonAccount",,,,,,
